ID,Nome,Ano,Duracao,Metascore,Generos,Qtd votos,IMDB,Qtd atores,Estrela de cinema,Companhia(s) produtora(s),Distribuicao,idioma original,colecao de filmes,oscars indicados,oscars ganhos,Qtd filmes anteriores ator princ.
1,Um Sonho de Liberdade,1994,142,80,drama,2474674,93,54,T,Castle Rock,Columbia,en,F,7,0,20
2,Konjaku monogatari: The new edition,2007,88,,"comedia, drama",500,10,15,F,,,jp,T,0,0,1
3,Os Fantasmas se Divertem,1988,92,70,"comedia, fantasia",277293,75,13,T,Geffen ,Warner Bros.,en,F,1,1,2
4,Star Trek,2009,127,92,"acao, aventura, sci-fi",590806,79,88,"Chris Pine, Zachary Quinto, Simon Pegg",Spyglass,Paramount,en,T,4,1,8
5,O Rei Leao,1994,88,88,"animacao, aventura, drama",987061,85,23,"Matthew Broderick, Jeremy Irons, James Earl Jones",Walt Disney,Buena Vista,en,T,4,2,9
6,R.I.P.D. - Agentes do Alem,2013,96,25,"acao, aventura, comedia",124891,56,20,"Ryan Reynolds, Jeff Bridges, Mary-Louise Parker",Dark Horse,Universal,en,F,0,0,34
7,Bernardo e Bianca,1977,78,74,"animacao, aventura, comedia",61148,69,8,"Bob Newhart, Eva Gabor, Geraldine Page",Walt Disney,Buena Vista,en ,F,1,0,5
8,Cinderella,2015,95,67,"aventura, drama, familia",169139,69,38,"Lily James, Cate Blanchett, Richard Madden",Walt Disney,Walt Disney,en,F,1,0,8
9,Todos os Caes Merecem o Ceu,1989,84,50,"animacao, comedia, drama",39697,68,30,"Dom DeLuise, Burt Reynolds, Daryl Gilley",,United Artists,en,T,0,0,12
10,Kaye Ballard - The Show Goes On,2019,90,,biografia,190,100,29,"Woody Allen, Ann-Margret, Eve Arden",Jim-Dandy Films,,en,F,0,0,36
11,Apenas Amigos,2005,96,47,"comedia, romance",111150,62,52,"Ryan Reynolds, Amy Smart, Anna Faris",New Line Cinema,,en,F,0,0,16
12,Operacao Baba,2005,95,30,"acao, comedia, drama",91343,56,76,"Vin Diesel, Brittany Snow, Max Thieriot",Walt Disney,Buena Vista,en,F,0,0,6
13,Encontro Marcado,1998,178,43,"drama, fantasia, romance",227565,72,28,"Brad Pitt, Anthony Hopkins, Claire Forlani",City Light ,Universal,en,F,0,0,23
